InNum,CallDateTime,Address,ExtNatureDisplayName,Report,PolArea,DOW,Hour
2026043184,"2/16/2026 5:27:20 PM","900 BLOCK  N KEENE ST",ACCIDENT,2026001427,"80  ",Monday,17
2026043179,"2/16/2026 5:23:21 PM","S SIXTH ST/ELM ST","TRAFFIC STOP",,MUG1,Monday,17
2026043175,"2/16/2026 5:22:00 PM","1000 BLOCK  CLAUDELL LN",HARASSMENT,,"10  ",Monday,17
2026043172,"2/16/2026 5:18:28 PM","I70 E/CONNECTOR",ACCIDENT,,"40  ",Monday,17
2026043171,"2/16/2026 5:18:24 PM","1200 BLOCK  I70 W","TRAFFIC HAZARD",,"10  ",Monday,17
2026043167,"2/16/2026 5:06:48 PM","N PROVIDENCE RD OFFR WB/N PROVIDENCE RD",ACCIDENT,,"10  ",Monday,17
2026043155,"2/16/2026 4:39:42 PM","1600 BLOCK  E BROADWAY","911 CHECKS",,"70  ",Monday,16
2026043153,"2/16/2026 4:38:07 PM","600 BLOCK  E WALNUT ST","ASSIST CITIZEN",,"70D ",Monday,16
2026043150,"2/16/2026 4:34:37 PM","1200 BLOCK  UNIVERSITY AVE",DISTURBANCE,2026001424,"70  ",Monday,16
2026043148,"2/16/2026 4:28:57 PM","1200 BLOCK  I70 E","TRAFFIC HAZARD",,"10  ",Monday,16
2026043146,"2/16/2026 4:27:29 PM","NEW HAVEN RD/NEW HAVEN RD ONR NB","STALLED VEHICLE",,"80  ",Monday,16
2026043145,"2/16/2026 4:24:45 PM","3800 BLOCK  CANYON RIDGE DR","911 CHECKS",,"40  ",Monday,16
2026043143,"2/16/2026 4:20:42 PM","1100 BLOCK  N PROVIDENCE RD","LAW ALARM",,"20  ",Monday,16
2026043142,"2/16/2026 4:18:38 PM","200 BLOCK  BAY POINTE LN","TRAFFIC HAZARD",,"80  ",Monday,16
2026043141,"2/16/2026 4:17:53 PM","I70 E/RANGE LINE ST","TRAFFIC HAZARD",,"30  ",Monday,16
2026043140,"2/16/2026 4:17:34 PM","N HWY 63 NB/E BROADWAY",ACCIDENT,,"80  ",Monday,16
2026043136,"2/16/2026 4:13:25 PM","900 BLOCK  S OLD 63","ASSIST CITIZEN",,"80  ",Monday,16
2026043135,"2/16/2026 4:06:29 PM","400 BLOCK  N GARTH AVE","SUSPICIOUS PERSON",,"20  ",Monday,16
2026043134,"2/16/2026 4:05:14 PM","1200 BLOCK  GRINDSTONE PKWY",LARCENY,2026001428,"60  ",Monday,16
2026043130,"2/16/2026 3:55:14 PM","3700 BLOCK  FLANDERS CT","ASSIST CITIZEN",,"40  ",Monday,15
2026043124,"2/16/2026 3:45:53 PM","11300 BLOCK  S AIRPORT DR","ASSIST CITIZEN",,"80A ",Monday,15
2026043119,"2/16/2026 3:39:03 PM","400 BLOCK  LOCUST ST","CHECK SUBJECT",2026001423,"70D ",Monday,15
2026043117,"2/16/2026 3:36:53 PM","W GREEN MEADOWS RD/GREEN MEADOWS CIR","TRAFFIC STOP",,"60  ",Monday,15
2026043114,"2/16/2026 3:35:03 PM","2000 BLOCK  W WORLEY ST",FRAUD,2026001430,"10  ",Monday,15
2026043108,"2/16/2026 3:30:11 PM","N COLLEGE AVE/EUGENIA ST",ACCIDENT,,"70  ",Monday,15
2026043107,"2/16/2026 3:28:36 PM","1000 BLOCK  N STADIUM BLVD",FRAUD,2026001421,"10  ",Monday,15
2026043104,"2/16/2026 3:25:58 PM","3800 BLOCK  CEDAR LN",LARCENY,2026001425,"80  ",Monday,15
2026043101,"2/16/2026 3:23:12 PM","100 BLOCK  REDWOOD RD","ABANDONED  VEHICLE",,"50  ",Monday,15
2026043095,"2/16/2026 3:13:55 PM","WHITE GATE DR/TOWNE DR",HARASSMENT,,"40  ",Monday,15
2026043094,"2/16/2026 3:12:31 PM","N STADIUM BLVD/W BROADWAY",ACCIDENT,,"50  ",Monday,15
2026043085,"2/16/2026 3:02:21 PM","2100 BLOCK  CORONA RD",BURGLARY,2026001420,"50  ",Monday,15
2026043082,"2/16/2026 3:00:42 PM","1000 BLOCK  E GREEN MEADOWS RD",LARCENY,2026001418,"60  ",Monday,15
2026043081,"2/16/2026 2:59:35 PM","800 BLOCK  HOSPITAL DR","ASSIST OFFICER",,"70E ",Monday,14
2026043074,"2/16/2026 2:52:12 PM","CARTER LN/VICTORIA DR","TRAFFIC STOP",,"60  ",Monday,14
2026043073,"2/16/2026 2:52:06 PM","600 BLOCK  E WALNUT ST","ASSIST CITIZEN",,"70D ",Monday,14
2026043067,"2/16/2026 2:44:49 PM","N GARTH AVE/E WALNUT ST","TRAFFIC STOP",,"50  ",Monday,14
2026043057,"2/16/2026 2:32:39 PM","1000 BLOCK  E BROADWAY","ASSIST CITIZEN",,"70D ",Monday,14
2026043048,"2/16/2026 2:24:40 PM","1900 BLOCK  BERNADETTE DR",LARCENY,2026001419,"10  ",Monday,14
2026043049,"2/16/2026 2:24:40 PM","W WORLEY ST/SANFORD AVE","ASSIST MEDICS",,"20  ",Monday,14
2026043045,"2/16/2026 2:22:06 PM","700 BLOCK  W BUSINESS LOOP 70","TRAFFIC STOP",,"20  ",Monday,14
2026043044,"2/16/2026 2:22:05 PM","I70 E/N PROVIDENCE RD OFFR EB","LEAVING THE SCENE ACCIDENT",,"10  ",Monday,14
2026043038,"2/16/2026 2:14:16 PM","100 BLOCK  W BROADWAY","ASSIST MEDICS",,"50  ",Monday,14
2026043037,"2/16/2026 2:13:56 PM","1200 BLOCK  I70 W","TRAFFIC HAZARD",,"10  ",Monday,14
2026043034,"2/16/2026 2:12:22 PM","4400 BLOCK  BROWN STATION RD","PEACE DISTURBANCE",,"30  ",Monday,14
2026043033,"2/16/2026 2:11:17 PM","N GARTH AVE/E FOREST AVE","TRAFFIC STOP",,"20  ",Monday,14
2026043022,"2/16/2026 1:57:02 PM","1200 BLOCK  I70 W","ASSIST MEDICS",,"10  ",Monday,13
2026043019,"2/16/2026 1:55:28 PM","100 BLOCK  N WILLIAM ST","ASSIST MEDICS",,"70  ",Monday,13
2026043013,"2/16/2026 1:47:01 PM","3300 BLOCK  W BROADWAY","TRAFFIC STOP",,"50  ",Monday,13
2026043012,"2/16/2026 1:46:02 PM","900 BLOCK  E BROADWAY","CHECK SUBJECT",,"70D ",Monday,13
2026043010,"2/16/2026 1:45:05 PM","2700 BLOCK  ROLLINS RD",DISTURBANCE,,"50  ",Monday,13
2026043009,"2/16/2026 1:44:58 PM","2000 BLOCK  E BROADWAY","CHECK AREA",,"80  ",Monday,13
2026043007,"2/16/2026 1:38:41 PM","100 BLOCK  N OLD 63","CHECK SUBJECT",,"80  ",Monday,13
2026043005,"2/16/2026 1:37:54 PM","300 BLOCK  N STADIUM BLVD","CHECK OPEN BUSINESS",,"50  ",Monday,13
2026043002,"2/16/2026 1:29:21 PM","0 BLOCK  E LESLIE LN","ASSIST OFFICER",,"10  ",Monday,13
2026043001,"2/16/2026 1:29:00 PM","E BROADWAY/DORSEY ST",ACCIDENT,,"70  ",Monday,13
2026042995,"2/16/2026 1:17:00 PM","3800 BLOCK  RANGE LINE ST",LARCENY,2026001416,"30  ",Monday,13
2026042988,"2/16/2026 1:08:55 PM","3200 BLOCK  CLARK LN",ASSAULT,,"40  ",Monday,13
